exp_name,seed,corpus,tag,git_commit,run_path,final_avg_loss,total_communication_mb,backs
exp_dolly_two_phase_k8_iid,123,CUDA,neuro_part12_qvonly,cae4c328930088f607c817e0df81711b5c775a86,results/raw/exp_dolly_two_phase_k8_iid/two_phase/seed_123/run_05_of_24/neuro_part12_qvonly/20260727_012753,1.6626846998,1863.125,Table2_Table3_TableS1_TableS4_CUDA_qv_only
exp_dolly_two_phase_k8_iid,42,CUDA,neuro_part12_qvonly,cae4c328930088f607c817e0df81711b5c775a86,results/raw/exp_dolly_two_phase_k8_iid/two_phase/seed_42/run_04_of_24/neuro_part12_qvonly/20260727_005833,1.6666163043,1863.125,Table2_Table3_TableS1_TableS4_CUDA_qv_only
exp_dolly_two_phase_k8_iid,456,CUDA,neuro_part12_qvonly,cae4c328930088f607c817e0df81711b5c775a86,results/raw/exp_dolly_two_phase_k8_iid/two_phase/seed_456/run_06_of_24/neuro_part12_qvonly/20260727_015800,1.6634749263,1863.125,Table2_Table3_TableS1_TableS4_CUDA_qv_only
exp_fedit_iid,123,CUDA,neuro_part12_qvonly,cae4c328930088f607c817e0df81711b5c775a86,results/raw/exp_fedit_iid/fedit/seed_123/run_20_of_24/neuro_part12_qvonly/20260727_083023,1.2584201407,2578.125,Table2_Table3_TableS1_TableS4_CUDA_qv_only
exp_fedit_iid,42,CUDA,neuro_part12_qvonly,cae4c328930088f607c817e0df81711b5c775a86,results/raw/exp_fedit_iid/fedit/seed_42/run_19_of_24/neuro_part12_qvonly/20260727_080321,1.2607665651,2578.125,Table2_Table3_TableS1_TableS4_CUDA_qv_only
exp_fedit_iid,456,CUDA,neuro_part12_qvonly,cae4c328930088f607c817e0df81711b5c775a86,results/raw/exp_fedit_iid/fedit/seed_456/run_21_of_24/neuro_part12_qvonly/20260727_085728,1.2615027184,2578.125,Table2_Table3_TableS1_TableS4_CUDA_qv_only
exp_fedit_noniid_alpha05,123,CUDA,neuro_part12_qvonly,cae4c328930088f607c817e0df81711b5c775a86,results/raw/exp_fedit_noniid_alpha05/fedit/seed_123/run_23_of_24/neuro_part12_qvonly/20260727_095211,1.257695812,2578.125,Table2_Table3_TableS1_TableS4_CUDA_qv_only
exp_fedit_noniid_alpha05,42,CUDA,neuro_part12_qvonly,cae4c328930088f607c817e0df81711b5c775a86,results/raw/exp_fedit_noniid_alpha05/fedit/seed_42/run_22_of_24/neuro_part12_qvonly/20260727_092514,1.2763527002,2578.125,Table2_Table3_TableS1_TableS4_CUDA_qv_only
exp_fedit_noniid_alpha05,456,CUDA,neuro_part12_qvonly,cae4c328930088f607c817e0df81711b5c775a86,results/raw/exp_fedit_noniid_alpha05/fedit/seed_456/run_24_of_24/neuro_part12_qvonly/20260727_101918,1.2376795394,2578.125,Table2_Table3_TableS1_TableS4_CUDA_qv_only
exp_ffa_lora_iid,123,CUDA,neuro_part12_qvonly,cae4c328930088f607c817e0df81711b5c775a86,results/raw/exp_ffa_lora_iid/ffa_lora/seed_123/run_14_of_24/neuro_part12_qvonly/20260727_054832,1.3017383666,983.125,Table2_Table3_TableS1_TableS4_CUDA_qv_only
exp_ffa_lora_iid,42,CUDA,neuro_part12_qvonly,cae4c328930088f607c817e0df81711b5c775a86,results/raw/exp_ffa_lora_iid/ffa_lora/seed_42/run_13_of_24/neuro_part12_qvonly/20260727_052118,1.3039754023,983.125,Table2_Table3_TableS1_TableS4_CUDA_qv_only
exp_ffa_lora_iid,456,CUDA,neuro_part12_qvonly,cae4c328930088f607c817e0df81711b5c775a86,results/raw/exp_ffa_lora_iid/ffa_lora/seed_456/run_15_of_24/neuro_part12_qvonly/20260727_061538,1.3036277965,983.125,Table2_Table3_TableS1_TableS4_CUDA_qv_only
exp_ffa_lora_noniid_alpha05,123,CUDA,neuro_part12_qvonly,cae4c328930088f607c817e0df81711b5c775a86,results/raw/exp_ffa_lora_noniid_alpha05/ffa_lora/seed_123/run_17_of_24/neuro_part12_qvonly/20260727_070935,1.2956036092,983.125,Table2_Table3_TableS1_TableS4_CUDA_qv_only
exp_ffa_lora_noniid_alpha05,42,CUDA,neuro_part12_qvonly,cae4c328930088f607c817e0df81711b5c775a86,results/raw/exp_ffa_lora_noniid_alpha05/ffa_lora/seed_42/run_16_of_24/neuro_part12_qvonly/20260727_064248,1.3150784772,983.125,Table2_Table3_TableS1_TableS4_CUDA_qv_only
exp_ffa_lora_noniid_alpha05,456,CUDA,neuro_part12_qvonly,cae4c328930088f607c817e0df81711b5c775a86,results/raw/exp_ffa_lora_noniid_alpha05/ffa_lora/seed_456/run_18_of_24/neuro_part12_qvonly/20260727_073628,1.278454949,983.125,Table2_Table3_TableS1_TableS4_CUDA_qv_only
exp_reverse_adaptive_noniid_alpha01,1000,MPS,stage2_adaptive_alpha01_extra_seeds,1e518c63010a4ba67eebd1f4c34e7bcddc530c3d,results/raw/exp_reverse_adaptive_noniid_alpha01/reverse_adaptive/seed_1000/stage2_adaptive_alpha01_extra_seeds/20260505_002408,1.2730455825,1226.5,TableS2_noniid_MPS
exp_reverse_adaptive_noniid_alpha01,123,MPS,stage2_adaptive,1e518c63010a4ba67eebd1f4c34e7bcddc530c3d,results/raw/exp_reverse_adaptive_noniid_alpha01/reverse_adaptive/seed_123/stage2_adaptive/20260503_114223,1.2889847009,1533.125,TableS2_noniid_MPS
exp_reverse_adaptive_noniid_alpha01,42,MPS,stage2_adaptive,1e518c63010a4ba67eebd1f4c34e7bcddc530c3d,results/raw/exp_reverse_adaptive_noniid_alpha01/reverse_adaptive/seed_42/stage2_adaptive/20260503_083751,1.2683526294,1379.8125,TableS2_noniid_MPS
exp_reverse_adaptive_noniid_alpha01,456,MPS,stage2_adaptive,1e518c63010a4ba67eebd1f4c34e7bcddc530c3d,results/raw/exp_reverse_adaptive_noniid_alpha01/reverse_adaptive/seed_456/stage2_adaptive/20260503_144422,1.3480826738,1533.125,TableS2_noniid_MPS
exp_reverse_adaptive_noniid_alpha01,789,MPS,stage2_adaptive_alpha01_extra_seeds,1e518c63010a4ba67eebd1f4c34e7bcddc530c3d,results/raw/exp_reverse_adaptive_noniid_alpha01/reverse_adaptive/seed_789/stage2_adaptive_alpha01_extra_seeds/20260504_212316,1.2591996681,1533.125,TableS2_noniid_MPS
exp_reverse_adaptive_noniid_alpha05,123,MPS,stage2_adaptive,1e518c63010a4ba67eebd1f4c34e7bcddc530c3d,results/raw/exp_reverse_adaptive_noniid_alpha05/reverse_adaptive/seed_123/stage2_adaptive/20260503_022754,1.2826247299,1533.125,TableS2_noniid_MPS
exp_reverse_adaptive_noniid_alpha05,42,MPS,stage2_adaptive,1e518c63010a4ba67eebd1f4c34e7bcddc530c3d,results/raw/exp_reverse_adaptive_noniid_alpha05/reverse_adaptive/seed_42/stage2_adaptive/20260502_232453,1.2859333175,1533.125,TableS2_noniid_MPS
exp_reverse_adaptive_noniid_alpha05,456,MPS,stage2_adaptive,1e518c63010a4ba67eebd1f4c34e7bcddc530c3d,results/raw/exp_reverse_adaptive_noniid_alpha05/reverse_adaptive/seed_456/stage2_adaptive/20260503_053234,1.2521326251,1533.125,TableS2_noniid_MPS
